text,vader,roberta
crash twinsanity ost slaps,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}",[0.13784057 0.58295685 0.27920264]
cancer sucks tho dude just found out thats wat my mom died from liver cancer that lead to serosis,"{'neg': 0.498, 'neu': 0.502, 'pos': 0.0, 'compound': -0.9423}",[0.97630346 0.02143013 0.00226644]
when are you gonna ball vs the yard boys,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.03752206 0.9137498  0.04872814]
watching you for school rn,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10749152 0.8457601  0.04674834]
penguinz did you watch wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05228064 0.9088853  0.03883409]
overwatch is bs bru,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.9200635  0.07051802 0.00941849]
please do another mini golf tournament,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}",[0.01661724 0.6901066  0.2932762 ]
you see andrew callaghan got arrested,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",[0.45923334 0.52373284 0.01703385]
hey charlie did you get a chance to see my tweet about making you a custom gundam,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.25}",[0.03075661 0.89433134 0.07491209]
you watch the game,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.15956725 0.7214139  0.11901879]
helldivers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.20331848 0.6664418  0.13023973]
chiefs won,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",[0.02311185 0.50827396 0.46861416]
deadpool,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.22613917 0.6248821  0.14897871]
devin booker,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.09118531 0.79614794 0.1126667 ]
did you see the hhvaush horse stuff,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10563786 0.85976964 0.03459254]
play dark souls,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",[0.07839188 0.8035162  0.11809193]
what did you think about the super bowl commercials,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.5994}",[0.11282718 0.84306425 0.04410863]
more food dip reviews you still do them,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.41447493 0.54680467 0.03872038]
mint mobile should i make the switch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.04733015 0.88576955 0.06690028]
handforth is different,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.15744324 0.73846966 0.10408705]
mr penguin have you thought about making a comic book god tweet,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}",[0.04397594 0.85629416 0.09972996]
the halftime was mid,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.7060277  0.27227896 0.02169326]
or just eat taco bell idgaf,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.1964625  0.6737707  0.12976675]
hey charlie did you get a chance to see my tweet about making you a custom gundam,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.25}",[0.03075661 0.89433134 0.07491209]
penguinz did you watch wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05228064 0.9088853  0.03883409]
charlie doesnt deserve this lifestyle and i hate how all my labor was for nothing and my reward to is watch people like this live how i should be living life is so unfair and uncaring good night,"{'neg': 0.227, 'neu': 0.658, 'pos': 0.115, 'compound': -0.7422}",[0.9832486  0.01462646 0.00212493]
have you seen an alligator snapping turtle,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.0680143  0.8767585  0.05522716]
why am i still getting ads mid stream if im subbed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.7693598  0.22181813 0.00882202]
exactly why isnt charlie in gta vi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.36675733 0.60212654 0.03111617]
what about an abandoned bowling alley bring your own pins and ball,"{'neg': 0.214, 'neu': 0.786, 'pos': 0.0, 'compound': -0.4588}",[0.16498353 0.78463316 0.05038332]
so the chiefs won,"{'neg': 0.0, 'neu': 0.431, 'pos': 0.569, 'compound': 0.6077}",[0.02066599 0.54734695 0.431987  ]
thoughts on buck shot roulette,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.08788703 0.8582782  0.05383475]
gm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.24646649 0.52049166 0.23304188]
penguinz any update on the gamersupps claw machine,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.03325756 0.90461403 0.06212837]
whered you get to in one piece,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.04970978 0.71418667 0.23610353]
what do you think about devin booker,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05473259 0.8947098  0.05055757]
charles did you see the alabama cell tower got stolen,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.4939}",[0.4157311  0.56673217 0.01753667]
do you think black myth wukong is game of the year contender,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.128}",[0.0458095  0.9056752  0.04851532]
rigging nfl for them swiftards,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.68945485 0.29265112 0.01789407]
wallis and grommet back at it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.02834335 0.8050584  0.16659825]
penguinz did you watch wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05228064 0.9088853  0.03883409]
is a iphone  still good in,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",[0.00760423 0.15908471 0.833311  ]
fought the new mid level boss in old school runescape scurrious,"{'neg': 0.187, 'neu': 0.813, 'pos': 0.0, 'compound': -0.3182}",[0.09497763 0.82993174 0.07509064]
remember the cheese wheel race,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.09823252 0.80567986 0.09608764]
alex and james whatt,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.16145547 0.7876351  0.05090946]
hi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.20451176 0.5521486  0.2433397 ]
did you see vitality got their first rlcs loss,"{'neg': 0.198, 'neu': 0.603, 'pos': 0.198, 'compound': 0.0}",[0.44291896 0.53363883 0.0234422 ]
what do you do with the cheese,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.13337995 0.8243611  0.04225888]
did you see the hhvaush horse stuff,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10563786 0.85976964 0.03459254]
penguinz did you watch wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05228064 0.9088853  0.03883409]
rats fucking robbed them,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.96217686 0.03349502 0.00432815]
have you watched ninja kamui,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.07988708 0.87491566 0.04519722]
you eat it pf course,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.14382537 0.7293711  0.12680352]
can you do a moist meter for lies of p,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4215}",[0.17673573 0.79194826 0.03131605]
did you watch the spongebob halftime,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.03424776 0.8220262  0.14372602]
your fence is a mouse,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.52220297 0.44885385 0.02894319]
how did you feel about the half time show i thought it was pretty lack luster and definitely couldnt compare to alot of other ones that have happened in the past  years,"{'neg': 0.064, 'neu': 0.773, 'pos': 0.163, 'compound': 0.5574}",[0.81981766 0.16531403 0.01486833]
we didnt steal it to sell it,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.3875}",[0.25398913 0.6848822  0.06112863]
yea the cheifs won,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",[0.25615677 0.57375485 0.17008832]
youre an expert on heists now damn you got mad skillz bestie,"{'neg': 0.371, 'neu': 0.629, 'pos': 0.0, 'compound': -0.7096}",[0.41376692 0.4731666  0.1130664 ]
phoenix suns,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.01758732 0.7369488  0.2454638 ]
do you think it was scripted,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.20272195 0.77281946 0.02445859]
drake curse was broken,"{'neg': 0.767, 'neu': 0.233, 'pos': 0.0, 'compound': -0.765}",[0.13579829 0.734033   0.13016866]
iphone  was never good,"{'neg': 0.445, 'neu': 0.555, 'pos': 0.0, 'compound': -0.3412}",[0.9209572  0.07073075 0.0083121 ]
big gulp,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.3036377  0.5547265  0.14163582]
geeze how desperate you got to be to steal cheese,"{'neg': 0.407, 'neu': 0.593, 'pos': 0.0, 'compound': -0.6705}",[0.83176833 0.15721278 0.01101898]
have you considered building a bowling alley lane in the warehouse,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.03874792 0.92049    0.04076206]
did you hear about the helicopter found on mars,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.12108571 0.8507521  0.02816222]
man i steak sigh,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.0258}",[0.7172956  0.26083273 0.02187171]
robert mercer yes i was thinking the same lol,"{'neg': 0.0, 'neu': 0.522, 'pos': 0.478, 'compound': 0.6705}",[0.03523854 0.5696719  0.3950896 ]
local reasturants,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.16324016 0.7483188  0.08844104]
sell it to food trucks,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.14752382 0.7856395  0.06683657]
sell cheese to me ill eat it,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}",[0.11729443 0.6997851  0.18292052]
ers real quiet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.15968837 0.7357252  0.10458644]
play dark souls,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",[0.07839188 0.8035162  0.11809193]
are you watching frieren beyond journeys end  really good anime,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4927}",[0.00409131 0.07881526 0.91709346]
shwallow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.22207011 0.64684147 0.13108842]
id buy that for a dollar,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.24094523 0.60032624 0.15872854]
alex and james cowcop,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.09038103 0.8335854  0.07603363]
there is a wasp behind you,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.23135532 0.7081725  0.06047222]
oh shit we watching the creatures,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.5574}",[0.5270248  0.43116668 0.04180855]
doritos cool ranch or nacho,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",[0.02026809 0.8040545  0.17567737]
r u gonna play more helldivers,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.34}",[0.07939243 0.8508476  0.06975996]
can you give me a car pls,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.0772}",[0.06291172 0.65270644 0.28438184]
best supersupps flavor,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",[0.01201951 0.41145608 0.57652444]
shwallow butt fucker,"{'neg': 0.683, 'neu': 0.317, 'pos': 0.0, 'compound': -0.6486}",[0.9554674  0.0377542  0.00677847]
did you see the hhvaush horse stuff,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10563786 0.85976964 0.03459254]
hee hee kuhmooey,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05177714 0.72930795 0.21891491]
hey charlie did you get a chance to see my tweet about making you a custom gundam,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.25}",[0.03075661 0.89433134 0.07491209]
will you add the new taco bell items on the taco bell tier list when it comes out,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.00967769 0.9262347  0.06408755]
thinking of cheese makes me feel gassy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.8015044  0.17873198 0.01976366]
its so good,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",[0.00380147 0.01600524 0.9801933 ]
hope that shit isnt genetic cuzz if it is i could get it,"{'neg': 0.218, 'neu': 0.606, 'pos': 0.176, 'compound': -0.1779}",[0.8456151  0.13668887 0.01769604]
did you see the florida man who just drove his pickup truck into the ocean and when arrested gave a big smile and said not my fault it dont surf as a key wester hes a true floridian,"{'neg': 0.074, 'neu': 0.744, 'pos': 0.181, 'compound': 0.5358}",[0.03130979 0.35912445 0.60956573]
penguinz did you watch the wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05020413 0.9115908  0.03820502]
charlie do my homework for me,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.13317552 0.79619724 0.07062733]
route for your team not your hate,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.4585}",[0.64381915 0.32790086 0.02827999]
can we peep the trailer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.04504588 0.87766117 0.07729289]
what was your super bowl prediction,"{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.5994}",[0.06729964 0.87060326 0.06209703]
why is saucesav still getting ads mid stream if he is subbed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.47871476 0.50472426 0.01656094]
did you see vitality got their first rlcs loss,"{'neg': 0.198, 'neu': 0.603, 'pos': 0.198, 'compound': 0.0}",[0.44291896 0.53363883 0.0234422 ]
n,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[0.24512158 0.53354543 0.221333  ]
deadpool  trailer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.08177976 0.80080724 0.11741301]
which nba team you think are going to the finals and which of those teams you think are going to win,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.5859}",[0.03133201 0.90888196 0.05978602]
rigged nfl,"{'neg': 0.714, 'neu': 0.286, 'pos': 0.0, 'compound': -0.3612}",[0.19452979 0.7232226  0.08224759]
penguinz did you watch the wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05020413 0.9115908  0.03820502]
its so good,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",[0.00380147 0.01600524 0.9801933 ]
how does the twitchyoutube stream schedule work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10370903 0.8575094  0.03878164]
i,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[0.26326516 0.49000213 0.24673274]
l ers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.3603918  0.53345543 0.10615272]
just a chill stream tn,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.01566916 0.66264635 0.32168445]
phoenix suns going to win championship,"{'neg': 0.0, 'neu': 0.374, 'pos': 0.626, 'compound': 0.7717}",[0.00193631 0.15610406 0.84195966]
