,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,occurence_timestamp,timeStampUTC,author,content.message,content.text_content,content.giftText,content.giftedText,sentiment
21,21,21,21,22,-1:03,1707172199250572,LightTheL,Gayge Clap hi gayge jakeS ari POGGIES srdz ,Gayge Clap hi gayge jakeS ari POGGIES srdz ,,,
22,22,22,22,23,-1:02,1707172200924240,Michael Ciccone,latw ,latw ,,,
23,23,23,23,24,-1:01,1707172201227148,Ape,When is he comming back with the milk ,When is he comming back with the milk ,,,
24,24,24,24,25,-1:01,1707172201990049,saddlelight,i dont like the way he stares into my soul chat ,i dont like the way he stares into my soul chat ,,,
25,25,25,25,26,-0:59,1707172203398451,Eli Geddes,howdy ,howdy ,,,
26,26,26,26,27,-0:58,1707172204114788,jkgray,mewSpinSpin  ,mewSpinSpin  ,,,
27,27,27,27,28,-0:58,1707172204729668,Cheetos,Awkward  ,Awkward  ,,,
28,28,28,28,29,-0:56,1707172206867198,ari,hi light ToadWave  ,hi light ToadWave  ,,,
29,29,29,29,30,-0:54,1707172208375629,Jaco,"@Srdzfdxtfyufk fair lol, I do feel like private accounts are just weird tho... espesially after the dream private account stuff ","@Srdzfdxtfyufk fair lol, I do feel like private accounts are just weird tho... espesially after the dream private account stuff ",,,
30,30,30,30,31,-0:53,1707172209089396,Shybard,$ludwigHead $ludwigHead $ludwigHead $ludwigHead $ludwigHead $ludwigHead $ludwigHead $ludwigS ,,,,
31,31,31,31,32,-0:53,1707172209139551,Adriosi,Stare ,Stare ,,,
32,32,32,32,33,-0:43,1707172219375280,Alannah Anne,WOO ,WOO ,,,
33,33,33,33,34,-0:42,1707172220670258,Benjamin Nowlin,should be starting ,should be starting ,,,
34,34,34,34,35,-0:34,1707172228407602,Salad Snick,PatientlyWaiting  ,PatientlyWaiting  ,,,
35,35,35,35,36,-0:32,1707172230119805,Jacob Laduke,dubin ,dubin ,,,
36,36,36,36,37,-0:32,1707172230857791,PineCone,Hello chat ,Hello chat ,,,
37,37,37,37,38,-0:30,1707172232038349,OnlyShadow 767,PAUSERS anytime soon ,PAUSERS anytime soon ,,,
38,38,38,38,39,-0:29,1707172233311847,Tired Medic,Is it really the return of Dubbin? ,Is it really the return of Dubbin? ,,,
39,39,39,39,40,-0:28,1707172234736165,Manatee Warrior,I’m just glad he’s streaming ,I’m just glad he’s streaming ,,,
40,40,40,40,41,-0:23,1707172239628966,Emma Lemanski,Hi chat ,Hi chat ,,,
41,41,41,41,42,-0:20,1707172242022020,QMoons,Dubbin ,Dubbin ,,,
42,42,42,42,43,-0:20,1707172242297949,Brie,🫨 ,🫨 ,,,
43,43,43,43,44,-0:18,1707172244760195,Jaco,like what are you hiding Susge why dont you want the world to see ,like what are you hiding Susge why dont you want the world to see ,,,
44,44,44,44,45,-0:12,1707172250642177,ella rose,helloooo ,helloooo ,,,
45,45,45,45,46,-0:07,1707172255403169,Josh Brown,Yooooo ,Yooooo ,,,
46,46,46,46,47,-0:04,1707172258405351,Ape,@Emma Lemanski Hellooo ,@Emma Lemanski Hellooo ,,,
47,47,47,47,48,-0:01,1707172261300667,Manatee Warrior,Dubbin the Destroyer  ,Dubbin the Destroyer  ,,,
48,48,48,48,49,-0:01,1707172261789281,Srdzfdxtfyufk,am i even on ur priv i cant find it... ,am i even on ur priv i cant find it... ,,,
49,49,49,49,50,0:02,1707172267289660,Alaskan Bingus,Guys hes here hes just holding really still ,Guys hes here hes just holding really still ,,,
50,50,50,50,51,0:02,1707172267394086,Sam,chat is this real ,chat is this real ,,,
51,51,51,51,52,0:03,1707172268287004,Nyachan,"peepoHey emma, ella, josh ","peepoHey emma, ella, josh ",,,
52,52,52,52,53,0:04,1707172268699552,OnlyShadow 767,peepoHey @Emma Lemanski  ,peepoHey @Emma Lemanski  ,,,
53,53,53,53,54,0:06,1707172271357066,Eli Geddes,how to increase protein intake ,how to increase protein intake ,,,
54,54,54,54,55,0:07,1707172271560450,3na,hellooo chat ,hellooo chat ,,,
55,55,55,55,56,0:08,1707172272401674,juni,Hey chat  🫶 ,Hey chat  🫶 ,,,
56,56,56,56,57,0:08,1707172272473999,KK6DOC,"though gotta say, the thumbnail quality is 11/10 ","though gotta say, the thumbnail quality is 11/10 ",,,
57,57,57,57,58,0:09,1707172274194613,Salad Snick,Scrubbin ,Scrubbin ,,,
58,58,58,58,59,0:10,1707172274427256,Bruno,PatientlyWaiting  ,PatientlyWaiting  ,,,
59,59,59,59,60,0:10,1707172274706233,OnlyShadow 767,Pog ,Pog ,,,
60,60,60,60,61,0:10,1707172275095478,Godzilla,yo ,yo ,,,
61,61,61,61,62,0:11,1707172275671123,Jaco,POGGIES  ,POGGIES  ,,,
62,62,62,62,63,0:12,1707172276487786,Jake Blazejowski,YO ,YO ,,,
63,63,63,63,64,0:13,1707172278356067,ella rose,i got an ad lmao ,i got an ad lmao ,,,
64,64,64,64,65,0:14,1707172278834065,NiftyDraboon,yo ,yo ,,,
65,65,65,65,66,0:14,1707172279228907,Jaco,yo ,yo ,,,
66,66,66,66,67,0:15,1707172279770661,Cheetos,POGGIES  ,POGGIES  ,,,
67,67,67,67,68,0:15,1707172279897032,Jabberwock,yo gamer ,yo gamer ,,,
68,68,68,68,69,0:17,1707172281655334,PastaMystic,yo ,yo ,,,
69,69,69,69,70,0:18,1707172282941919,Avery Delaney,Yo ,Yo ,,,
70,70,70,70,71,0:18,1707172283033262,OnlyShadow 767,He's live LETSGO ,He's live LETSGO ,,,
71,71,71,71,72,0:18,1707172283240109,Zapdos26,o/ ,o/ ,,,
72,72,72,72,73,0:19,1707172283475136,lexi,POGGIES  ,POGGIES  ,,,
73,73,73,73,74,0:19,1707172283756395,SpaceForRent,Pog ,Pog ,,,
74,74,74,74,75,0:19,1707172284062616,Thorn Hayne,dubbin ,dubbin ,,,
75,75,75,75,76,0:19,1707172284074870,nicrivers,hey ludwig i like you man you stream man i like it ,hey ludwig i like you man you stream man i like it ,,,
76,76,76,76,77,0:19,1707172284116350,Nate Phung,yooooo ,yooooo ,,,
77,77,77,77,78,0:20,1707172284531749,Crackmonkey809,not bad today ,not bad today ,,,
78,78,78,78,79,0:20,1707172285294454,Galaxy,hiii ,hiii ,,,
79,79,79,79,80,0:21,1707172285464740,MASTER SHOT,wsp ,wsp ,,,
80,80,80,80,81,0:21,1707172285775525,ari,i didnt want u to find out like this... ,i didnt want u to find out like this... ,,,
81,81,81,81,82,0:22,1707172286409013,buffbaby247,Yo ,Yo ,,,
82,82,82,82,83,0:22,1707172286468301,Liam Yakimishan,Latest?? ,Latest?? ,,,
83,83,83,83,84,0:22,1707172286697380,Augutin ,Yo ,Yo ,,,
84,84,84,84,85,0:22,1707172287074418,Brie,Yo ,Yo ,,,
85,85,85,85,86,0:23,1707172287423096,Tiger Rawr,Hwyyyy ,Hwyyyy ,,,
86,86,86,86,87,0:23,1707172287494427,Sina,BEEN A MINUTE ,BEEN A MINUTE ,,,
87,87,87,87,88,0:23,1707172287744031,TimeToDonuts,hey ,hey ,,,
88,88,88,88,89,0:23,1707172287824638,P Kristall,Hi ,Hi ,,,
89,89,89,89,90,0:23,1707172287865954,Sam,LUDDD ,LUDDD ,,,
90,90,90,90,91,0:23,1707172288061940,Ryan Power,Dubbin timeeeee ,Dubbin timeeeee ,,,
91,91,91,91,92,0:24,1707172288933346,andrés,bro is on time this is insane ,bro is on time this is insane ,,,
92,92,92,92,93,0:24,1707172289046447,Tristen,Halo ,Halo ,,,
93,93,93,93,94,0:25,1707172289592185,Jay Griffin,WOOOOOOO ,WOOOOOOO ,,,
94,94,94,94,95,0:25,1707172290343123,Josh Brown,Pog ,Pog ,,,
95,95,95,95,96,0:26,1707172290433140,Lawlik,yo yo ,yo yo ,,,
96,96,96,96,97,0:26,1707172290638935,angie 🕶,It is past 5:30. ,It is past 5:30. ,,,
97,97,97,97,98,0:26,1707172290793191,Demonslayer 2199,Yoooooo ,Yoooooo ,,,
98,98,98,98,99,0:26,1707172290873152,Emily Hopkins,LETS GOOOO ,LETS GOOOO ,,,
99,99,99,99,100,0:26,1707172291232785,Garrett,yo ,yo ,,,
100,100,100,100,101,0:26,1707172291265029,Michael Cuevas,yooo ,yooo ,,,
101,101,101,101,102,0:27,1707172291490536,Ducky79,finally ,finally ,,,
102,102,102,102,103,0:27,1707172291675773,Alfie,Heyo ,Heyo ,,,
103,103,103,103,104,0:27,1707172291695804,Random GT,Sup ,Sup ,,,
104,104,104,104,105,0:27,1707172291709013,Freddie Rosales,Yoooo ,Yoooo ,,,
105,105,105,105,106,0:27,1707172291789228,Hannah B,hey Lud peepoHey  ,hey Lud peepoHey  ,,,
106,106,106,106,107,0:27,1707172291896717,MATALINOE,Hi ,Hi ,,,
107,107,107,107,108,0:27,1707172292054143,RabmanX,hey lud ,hey lud ,,,
108,108,108,108,109,0:27,1707172292138838,Isaac Ellis,DUBBIN ,DUBBIN ,,,
109,109,109,109,110,0:27,1707172292344956,Bruno,POGGIES LIVE ,POGGIES LIVE ,,,
110,110,110,110,111,0:27,1707172292428636,LightTheL,POGGIES LIVE! ,POGGIES LIVE! ,,,
111,111,111,111,112,0:28,1707172292583449,eschee,Hiiiiiiii ,Hiiiiiiii ,,,
112,112,112,112,113,0:28,1707172292732977,SneeZ Smash,Waddup squad ,Waddup squad ,,,
113,113,113,113,114,0:28,1707172292850089,Capybara,BALLS ,BALLS ,,,
114,114,114,114,115,0:28,1707172293184417,TC Plays,Yo ,Yo ,,,
115,115,115,115,116,0:28,1707172293341682,bruhOmeter,YIPEEEEEEE ,YIPEEEEEEE ,,,
116,116,116,116,117,0:28,1707172293284370,Seanyyy🍉,HELOOO ,HELOOO ,,,
117,117,117,117,118,0:28,1707172293264077,zvtlivkf,hiii ,hiii ,,,
118,118,118,118,119,0:29,1707172293784651,Œ,Yo ,Yo ,,,
119,119,119,119,120,0:29,1707172293801603,Yeet,Daddy ,Daddy ,,,
120,120,120,120,121,0:29,1707172294171192,tinykeyboard,dubbin is back? ,dubbin is back? ,,,
121,121,121,121,122,0:29,1707172294400395,Drewsome,yo ,yo ,,,
122,122,122,122,123,0:30,1707172294623305,BoringMexican,Yo ,Yo ,,,
123,123,123,123,124,0:30,1707172294690753,good bread,ayyyyyyy ,ayyyyyyy ,,,
124,124,124,124,125,0:30,1707172294920193,Sean_Boss12,Yp ,Yp ,,,
125,125,125,125,126,0:30,1707172295251013,Afonso Gomes,Yo ,Yo ,,,
126,126,126,126,127,0:30,1707172295244872,Julius Hjalmarsson,Yoooooooooo ,Yoooooooooo ,,,
127,127,127,127,128,0:30,1707172295263131,Fotini,He is here ,He is here ,,,
128,128,128,128,129,0:30,1707172295381658,hmmm,dubbinn ,dubbinn ,,,
129,129,129,129,130,0:31,1707172295503724,_chezbadger,🇬🇧🇮🇹 $💀 ,🇬🇧🇮🇹 ,,,
130,130,130,130,131,0:31,1707172295566915,Chrissy Renee Aubenque,love the intro ad ,love the intro ad ,,,
131,131,131,131,132,0:31,1707172296081393,Nate Phung,how was the grammy's ,how was the grammy's ,,,
132,132,132,132,133,0:31,1707172296291631,Laty,Dubbin returns ,Dubbin returns ,,,
133,133,133,133,134,0:31,1707172296320552,jamus da king,wassup ,wassup ,,,
134,134,134,134,135,0:32,1707172296815741,calvin O'Neill,WOOOOO ,WOOOOO ,,,
135,135,135,135,136,0:32,1707172296833490,Emma Lemanski,Hii ,Hii ,,,
136,136,136,136,137,0:32,1707172297148436,Jacob Laduke,sup lud ,sup lud ,,,
137,137,137,137,138,0:32,1707172297206640,Ethan Bishop,ITS NOT OVER???? ,ITS NOT OVER???? ,,,
138,138,138,138,139,0:32,1707172297225051,Skateletter,ludboi ,ludboi ,,,
139,139,139,139,140,0:32,1707172297234296,iliketurtles14,ye ,ye ,,,
140,140,140,140,141,0:32,1707172297283522,Liv Booty,Howdy  $🤠   ,Howdy    ,,,
141,141,141,141,142,0:32,1707172297308127,maynor Flores,Yo lud ,Yo lud ,,,
142,142,142,142,143,0:33,1707172297583310,Flosszyy,ArriveWig ,ArriveWig ,,,
143,143,143,143,144,0:33,1707172297702133,J g, Yooooo , Yooooo ,,,
144,144,144,144,145,0:33,1707172297992437,ilikeurjohn,Big grammy boy ludwig ,Big grammy boy ludwig ,,,
145,145,145,145,146,0:33,1707172298132239,CheezMan14,Yooo ,Yooo ,,,
146,146,146,146,147,0:33,1707172298393384,Finix Moon,Hello mister Win ,Hello mister Win ,,,
147,147,147,147,148,0:33,1707172298434664,alian8,hi ,hi ,,,
148,148,148,148,149,0:34,1707172298364999,RaylonRT,SUP ,SUP ,,,
149,149,149,149,150,0:34,1707172298473524,Cesar Ramos,hi ,hi ,,,
150,150,150,150,151,0:34,1707172298660649,RiddledMite,hi ,hi ,,,
151,151,151,151,152,0:34,1707172298665252,m_pattadon,FINALLY HES ALIVE ,FINALLY HES ALIVE ,,,
152,152,152,152,153,0:34,1707172298802972,jonathan42064,Dubbin is back baby!!!!! ,Dubbin is back baby!!!!! ,,,
153,153,153,153,154,0:34,1707172298942838,Matt809,hayoooo ,hayoooo ,,,
154,154,154,154,155,0:34,1707172299033669,Joshua Chung,603 GANG ,603 GANG ,,,
155,155,155,155,156,0:34,1707172299111590,Rizka Rahmi,suiiiiiiiiiiiiiiiiiiiiiiiiiii ,suiiiiiiiiiiiiiiiiiiiiiiiiiii ,,,
156,156,156,156,157,0:35,1707172299534822,discostuforprez,yooooo ,yooooo ,,,
157,157,157,157,158,0:35,1707172299838417,sunshiqe,POGGIES live ,POGGIES live ,,,
158,158,158,158,159,0:35,1707172299823321,Caroline B.,wow i just finished the mr beast lud video perfect timing ,wow i just finished the mr beast lud video perfect timing ,,,
159,159,159,159,160,0:35,1707172299951444,Joel Ramos,Yooo  ,Yooo  ,,,
160,160,160,160,161,0:35,1707172300109259,Sarah Fisher,hiya! $hand-pink-waving $hand-pink-waving $hand-pink-waving $hand-pink-waving $hand-pink-waving $hand-pink-waving $hand-pink-waving ,hiya! ,,,
161,161,161,161,162,0:35,1707172300185801,Marcus Hernandez,Hey Daddy ,Hey Daddy ,,,
162,162,162,162,163,0:36,1707172300476462,juhl,WOO BOULDERS GAPE ,WOO BOULDERS GAPE ,,,
163,163,163,163,164,0:36,1707172300821476,MAGICC GAMING,Wow hey  ,Wow hey  ,,,
164,164,164,164,165,0:36,1707172300820556,Seanyyy🍉,HIIIIIIII ,HIIIIIIII ,,,
165,165,165,165,166,0:36,1707172300895595,marcelo ramirez,hi ,hi ,,,
166,166,166,166,167,0:36,1707172300993080,Celt Watch,yo! ,yo! ,,,
167,167,167,167,168,0:36,1707172301251679,FalconWarrior99 -,Baldurs gate???? ,Baldurs gate???? ,,,
168,168,168,168,169,0:37,1707172301535675,Clanzy ,"Balls, big… ","Balls, big… ",,,
169,169,169,169,170,0:37,1707172301635003,Redhat62,yoooo ,yoooo ,,,
170,170,170,170,171,0:37,1707172301654422,Mushroom.Equestrians,EARLY FOR ONCE ,EARLY FOR ONCE ,,,
171,171,171,171,173,0:37,1707172302194141,jarvy,Dubbin!  ,Dubbin!  ,,,
172,172,172,172,174,0:38,1707172302577751,eschee,NEW SUPER AUTO PETS PACK ,NEW SUPER AUTO PETS PACK ,,,
173,173,173,173,175,0:38,1707172302673554,jow,LUD ,LUD ,,,
174,174,174,174,176,0:38,1707172302692881,Alasdair,DUBBIN IS BACK ,DUBBIN IS BACK ,,,
175,175,175,175,177,0:38,1707172302799003,Ludwig's slave,jooo ,jooo ,,,
176,176,176,176,178,0:38,1707172302806419,Just_that_guy_gaming,Hi ,Hi ,,,
177,177,177,177,179,0:38,1707172303084543,Marc Suarez,Morning ,Morning ,,,
178,178,178,178,180,0:38,1707172303077254,lakena,yo ,yo ,,,
179,179,179,179,181,0:38,1707172303285141,asdctvybhnjmk,Yo ,Yo ,,,
180,180,180,180,182,0:39,1707172303536890,Zangetsu,yooo ,yooo ,,,
181,181,181,181,183,0:39,1707172303656269,JuneMugg,Howdy cowboy  ,Howdy cowboy  ,,,
182,182,182,182,184,0:39,1707172304155822,Snikit,Ayy good evening  ,Ayy good evening  ,,,
183,183,183,183,185,0:39,1707172304302380,Tomstenator09,bonjour ,bonjour ,,,
184,184,184,184,186,0:40,1707172304447486,Jake Blazejowski,good ,good ,,,
185,185,185,185,187,0:40,1707172304529446,RMGoose14,$ludwigWC $ludwigK $ludwigYike ,,,,
186,186,186,186,188,0:40,1707172304674647,jarvy,Yo ,Yo ,,,
187,187,187,187,189,0:40,1707172305320087,Hyper Nova,w live ,w live ,,,
188,188,188,188,190,0:40,1707172305377537,Salad Snick,It's mr live tomorrow morning ,It's mr live tomorrow morning ,,,
189,189,189,189,191,0:41,1707172305447338,Myles,YOOOOO ,YOOOOO ,,,
190,190,190,190,192,0:41,1707172305794116,SirWilliam,DUBBIN! ,DUBBIN! ,,,
191,191,191,191,193,0:41,1707172306040752,nico&doti,Pog ,Pog ,,,
192,192,192,192,194,0:41,1707172306082763,Emily Hopkins,hello ! ,hello ! ,,,
193,193,193,193,195,0:41,1707172306057300,Vamsi Varma,What were the Grammys like? ,What were the Grammys like? ,,,
194,194,194,194,196,0:41,1707172306133680,Hannah B,good  ,good  ,,,
195,195,195,195,197,0:41,1707172306265627,Diedske,hello! ,hello! ,,,
196,196,196,196,198,0:41,1707172306216702,Vappy,BALLSDUR GATE?! ,BALLSDUR GATE?! ,,,
197,197,197,197,199,0:42,1707172306617629,Louise Meddins,Hello ,Hello ,,,
198,198,198,198,200,0:42,1707172306746457,jsan_xX,Whaaaaaat he’s early  ,Whaaaaaat he’s early  ,,,
199,199,199,199,201,0:42,1707172306827924,bruhOmeter,it's about damn time ,it's about damn time ,,,
200,200,200,200,202,0:42,1707172306916398,Saïtri10,Yooooo lud! ,Yooooo lud! ,,,
201,201,201,201,203,0:42,1707172306934173,Alaskan Bingus,Outdoor bois stream when? ,Outdoor bois stream when? ,,,
202,202,202,202,204,0:42,1707172307128496,Krixelion,yo yo yo ,yo yo yo ,,,
203,203,203,203,205,0:42,1707172307181873,Charlouf,Salutations o7 ,Salutations o7 ,,,
204,204,204,204,206,0:42,1707172307266940,OnlyShadow 767,Peepo I missed you Dubbin ,Peepo I missed you Dubbin ,,,
205,205,205,205,207,0:42,1707172307268308,3na,storytime moment ,storytime moment ,,,
206,206,206,206,208,0:43,1707172307428867,zLc,on time!!!???! ,on time!!!???! ,,,
207,207,207,207,209,0:43,1707172307495626,Ishtar's Donut,Dubbin time???? ,Dubbin time???? ,,,
208,208,208,208,210,0:43,1707172307682883,Ape,GOOD ,GOOD ,,,
209,209,209,209,211,0:43,1707172307706151,RiddledMite,hi ,hi ,,,
210,210,210,210,212,0:43,1707172307745085,Bacon Man,Yoooo ,Yoooo ,,,
211,211,211,211,213,0:43,1707172308144807,Spark,hi ,hi ,,,
212,212,212,212,214,0:44,1707172308526149,Falcorian,Baulders gate Les goo  ,Baulders gate Les goo  ,,,
213,213,213,213,215,0:44,1707172308668880,[InsertSomethingSmart],POGGIES MY STREAMER IS LIVE ,POGGIES MY STREAMER IS LIVE ,,,
214,214,214,214,216,0:44,1707172308725528,Jeremy Zaccardi,Daddy ludwig  ,Daddy ludwig  ,,,
215,215,215,215,217,0:44,1707172308774309,Devilman,The return of dubbin and the hoeless ,The return of dubbin and the hoeless ,,,
216,216,216,216,218,0:44,1707172309014117,Cheetos,hi doing good  ,hi doing good  ,,,
217,217,217,217,219,0:44,1707172309071179,Just Shaggie,Sup ,Sup ,,,
218,218,218,218,220,0:44,1707172309082143,random,lemme get hea- ,lemme get hea- ,,,
219,219,219,219,221,0:44,1707172309095013,TVTOASTERVII,Hello! ,Hello! ,,,
220,220,220,220,222,0:44,1707172309260983,KaruSmuuti,yooooo ,yooooo ,,,
221,221,221,221,223,0:45,1707172309534218,Gay Sara,hiiiiiiiiiiiiiiiiiiii ,hiiiiiiiiiiiiiiiiiiii ,,,
222,222,222,222,224,0:45,1707172309581533,Yeet,Hi ,Hi ,,,
223,223,223,223,225,0:45,1707172309597467,NotSleepy,ludwig ,ludwig ,,,
224,224,224,224,226,0:45,1707172309621459,Ellen Love,YO peepoHey ,YO peepoHey ,,,
225,225,225,225,227,0:45,1707172309693255,Kuririboh,peepoHey ,peepoHey ,,,
226,226,226,226,228,0:45,1707172309938831,April B,IS DUBBIN AND THE HOELESS BACK????!?!! ,IS DUBBIN AND THE HOELESS BACK????!?!! ,,,
227,227,227,227,229,0:45,1707172310002534,nicrivers,yo whats up man ,yo whats up man ,,,
228,228,228,228,230,0:46,1707172310565797,F,BAULDERS?? ,BAULDERS?? ,,,
229,229,229,229,231,0:46,1707172310708053,Riddhi Mandal,how you feeling ,how you feeling ,,,
230,230,230,230,232,0:46,1707172310813695,BananaMasterRace,wtf catching the start ,wtf catching the start ,,,
231,231,231,231,233,0:46,1707172310939372,Levi Gerlach,heyy ,heyy ,,,
232,232,232,232,234,0:46,1707172311131100,ella rose,ads over hello !! ,ads over hello !! ,,,
233,233,233,233,235,0:46,1707172311221834,Nathan Elwood,Hey Luddy boy  ,Hey Luddy boy  ,,,
234,234,234,234,236,0:46,1707172311246531,Deiiyu Lol,we reacting to the genshin drama? ,we reacting to the genshin drama? ,,,
235,235,235,235,237,0:47,1707172311524391,RTR,"Yo! I just bought the Parasocial Club Membership! Hip Hip Hooray! Anyways, thanks for the streams ludwig.  ","Yo! I just bought the Parasocial Club Membership! Hip Hip Hooray! Anyways, thanks for the streams ludwig.  ",,,
236,236,236,236,238,0:47,1707172311773702,Jeffrey Parsons,Hiiiiiiii!!! ,Hiiiiiiii!!! ,,,
237,237,237,237,239,0:47,1707172311884015,TRAVISSIGMA,Ayyyy what up ,Ayyyy what up ,,,
238,238,238,238,240,0:47,1707172312302238,Mixa204,Hi  ,Hi  ,,,
239,239,239,239,241,0:48,1707172312657666,MrIcePak,DUBBIN IM AT WORK DUBBIN MAKING LESS THAN DOCTORS DUBBIN ,DUBBIN IM AT WORK DUBBIN MAKING LESS THAN DOCTORS DUBBIN ,,,
240,240,240,240,242,0:48,1707172312723048,kyletm1234,Hello! ,Hello! ,,,
241,241,241,241,243,0:48,1707172312927849,Vg99,hiiii ,hiiii ,,,
242,242,242,242,244,0:48,1707172312916808,Ducky79,hola ,hola ,,,
243,243,243,243,245,0:48,1707172312975604,AlliSoups,Henlo  ,Henlo  ,,,
244,244,244,244,246,0:48,1707172313032027,FalconWarrior99 -,Has he done baldurs before? ,Has he done baldurs before? ,,,
245,245,245,245,247,0:48,1707172313136209,space pegasus,I have beer. u want some ,I have beer. u want some ,,,
246,246,246,246,248,0:48,1707172313195017,Evan Inc,New Colin and Samir with matpat and Steph  ,New Colin and Samir with matpat and Steph  ,,,
247,247,247,247,249,0:48,1707172313307724,Pierce,WOOOOWOWOWI ,WOOOOWOWOWI ,,,
248,248,248,248,250,0:48,1707172313336839,Capybara,LUDWIG IS CUTE ,LUDWIG IS CUTE ,,,
249,249,249,249,251,0:48,1707172313377883,How it will end,Hello Lud and chat! ,Hello Lud and chat! ,,,
250,250,250,250,252,0:49,1707172313478932,Kitsune,@ludwig my grandpa gave me a Japanese rifle from ww2 before he passed  ,@ludwig my grandpa gave me a Japanese rifle from ww2 before he passed  ,,,
251,251,251,251,253,0:49,1707172313736521,Mandy Groening,"Not a boy, but good! ","Not a boy, but good! ",,,
252,252,252,252,254,0:49,1707172313756613,Kuro sama,Hi ,Hi ,,,
253,253,253,253,255,0:49,1707172313828848,Bubbles,he looks like he's holding in a massive shit in the thumbnail ,he looks like he's holding in a massive shit in the thumbnail ,,,
254,254,254,254,256,0:49,1707172313858901,joey,HELLOOOOO ,HELLOOOOO ,,,
255,255,255,255,257,0:49,1707172314078548,pengeny,wat up ,wat up ,,,
256,256,256,256,258,0:51,1707172315502463,Iznoot,LUDWIG ITS MY FIRST LIVE I MADE IT ,LUDWIG ITS MY FIRST LIVE I MADE IT ,,,
257,257,257,257,259,0:51,1707172315557995,ModestPaperBag,yo ,yo ,,,
258,258,258,258,260,0:51,1707172315601310,Moose_the_dog,MY DOG IS GAY ,MY DOG IS GAY ,,,
259,259,259,259,261,0:51,1707172316111522,Cece,peepoHey  ,peepoHey  ,,,
260,260,260,260,262,0:51,1707172316071304,r4p,Will Neff OTK Pog ,Will Neff OTK Pog ,,,
261,261,261,261,263,0:51,1707172316202190,Sam,hi man ,hi man ,,,
262,262,262,262,264,0:51,1707172316232375,Jack The Artificer,sup lud ,sup lud ,,,
263,263,263,263,265,0:52,1707172317173736,Jacob Bayer,woohoo ,woohoo ,,,
264,264,264,264,266,0:53,1707172317538123,Goosesingme,hello ,hello ,,,
265,265,265,265,267,0:53,1707172317663481,Ashes,DUBBIN IS BACK TO DUBBIN ,DUBBIN IS BACK TO DUBBIN ,,,
266,266,266,266,268,0:53,1707172317867264,MrNimrod,DUBBIN THE HOELESS RETURNSS ,DUBBIN THE HOELESS RETURNSS ,,,
267,267,267,267,269,0:53,1707172317984388,SutaSkyBlue,HI HI HI HI HI HI HI HI ,HI HI HI HI HI HI HI HI ,,,
268,268,268,268,270,0:53,1707172317982088,Tiger Rawr,Whasuppp ,Whasuppp ,,,
269,269,269,269,271,0:53,1707172318113252,Joshua Chung,$hand-pink-waving ,,,,
270,270,270,270,272,0:53,1707172318334731,Marc Mendez,WOO BALDUR'S GATE ,WOO BALDUR'S GATE ,,,
