content.text_content,sentiment,last_punctuation,?_count,._count,comma_count,!_count
overwatch is bs bru,0.0,,0.0,0.0,0.0,0.0
please do another mini golf tournament,0.0,,0.0,0.0,0.0,0.0
you see andrew callaghan got arrested,0.0,?,1.0,0.0,0.0,0.0
hey charlie did you get a chance to see my tweet about making you a custom gundam,0.0,?,1.0,0.0,1.0,0.0
you watch the game,0.0,?,1.0,0.0,0.0,0.0
helldivers,0.0,?,1.0,0.0,0.0,0.0
chiefs won,0.5,,0.0,0.0,0.0,0.0
deadpool,0.0,!,0.0,0.0,0.0,12.0
devin booker,0.0,?,1.0,0.0,0.0,0.0
did you see the hhvaush horse stuff,0.5,,0.0,0.0,0.0,0.0
play dark souls,0.0,,0.0,0.0,0.0,0.0
what did you think about the super bowl commercials,0.0,?,1.0,0.0,0.0,0.0
more food dip reviews you still do them,0.0,?,2.0,0.0,0.0,0.0
mint mobile should i make the switch,0.0,?,2.0,0.0,0.0,0.0
handforth is different,0.0,,0.0,0.0,0.0,0.0
mr penguin have you thought about making a comic book god tweet,0.0,?,1.0,1.0,0.0,0.0
the halftime was mid,-0.5,,0.0,0.0,0.0,0.0
or just eat taco bell idgaf,-0.5,,0.0,0.0,0.0,0.0
hey charlie did you get a chance to see my tweet about making you a custom gundam,0.0,?,1.0,0.0,1.0,0.0
penguinz did you watch wwe press conference,0.0,?,1.0,0.0,0.0,0.0
charlie doesnt deserve this lifestyle and i hate how all my labor was for nothing and my reward to is watch people like this live how i should be living life is so unfair and uncaring good night,-1.0,.,0.0,3.0,0.0,0.0
have you seen an alligator snapping turtle,0.0,,0.0,0.0,0.0,0.0
why am i still getting ads mid stream if im subbed,-0.5,,0.0,0.0,0.0,0.0
exactly why isnt charlie in gta vi,0.0,,0.0,0.0,0.0,0.0
what about an abandoned bowling alley bring your own pins and ball,0.0,?,1.0,0.0,0.0,0.0
so the chiefs won,0.0,?,1.0,0.0,0.0,0.0
thoughts on buck shot roulette,0.0,?,1.0,0.0,0.0,0.0
gm,0.0,,0.0,0.0,0.0,0.0
penguinz any update on the gamersupps claw machine,0.0,?,1.0,0.0,0.0,0.0
whered you get to in one piece,0.0,,0.0,0.0,0.0,0.0
what do you think about devin booker,0.0,,0.0,0.0,0.0,0.0
charles did you see the alabama cell tower got stolen,0.0,?,1.0,0.0,0.0,0.0
do you think black myth wukong is game of the year contender,0.0,,0.0,0.0,0.0,0.0
rigging nfl for them swiftards,0.0,,0.0,0.0,0.0,0.0
wallis and grommet back at it,0.0,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,?,1.0,0.0,0.0,0.0
is a iphone  still good in,0.0,,0.0,0.0,0.0,0.0
fought the new mid level boss in old school runescape scurrious,0.0,?,1.0,0.0,1.0,0.0
remember the cheese wheel race,0.0,,0.0,0.0,0.0,0.0
alex and james whatt,0.0,,0.0,0.0,0.0,0.0
hi,0.0,,0.0,0.0,0.0,0.0
did you see vitality got their first rlcs loss,-0.5,?,1.0,0.0,0.0,0.0
what do you do with the cheese,0.0,,0.0,0.0,0.0,0.0
did you see the hhvaush horse stuff,0.5,,0.0,0.0,0.0,0.0
penguinz did you watch wwe press conference,0.0,?,1.0,0.0,0.0,0.0
rats fucking robbed them,-1.0,,0.0,0.0,0.0,0.0
have you watched ninja kamui,0.0,,0.0,0.0,0.0,0.0
you eat it pf course,0.0,,0.0,0.0,0.0,0.0
can you do a moist meter for lies of p,0.0,,0.0,0.0,0.0,0.0
did you watch the spongebob halftime,0.0,,0.0,0.0,0.0,0.0
your fence is a mouse,0.0,,0.0,0.0,0.0,0.0
how did you feel about the half time show i thought it was pretty lack luster and definitely couldnt compare to alot of other ones that have happened in the past  years,-0.5,?,1.0,0.0,0.0,0.0
we didnt steal it to sell it,0.0,,0.0,0.0,0.0,0.0
yea the cheifs won,0.5,,0.0,0.0,0.0,0.0
youre an expert on heists now damn you got mad skillz bestie,0.0,comma,1.0,0.0,1.0,0.0
phoenix suns,0.0,,0.0,0.0,0.0,0.0
do you think it was scripted,0.0,?,2.0,0.0,0.0,0.0
drake curse was broken,0.0,,0.0,0.0,0.0,0.0
iphone  was never good,-0.5,,0.0,0.0,0.0,0.0
big gulp,0.0,,0.0,0.0,0.0,0.0
geeze how desperate you got to be to steal cheese,-0.5,,0.0,0.0,0.0,0.0
have you considered building a bowling alley lane in the warehouse,0.0,?,1.0,0.0,0.0,0.0
did you hear about the helicopter found on mars,0.0,,0.0,0.0,0.0,0.0
man i steak sigh,0.0,,0.0,0.0,0.0,0.0
robert mercer yes i was thinking the same lol,0.0,comma,0.0,0.0,1.0,0.0
local reasturants,0.0,,0.0,0.0,0.0,0.0
sell it to food trucks,0.0,,0.0,0.0,0.0,0.0
sell cheese to me ill eat it,0.0,,0.0,0.0,0.0,0.0
ers real quiet,0.0,,0.0,0.0,0.0,0.0
play dark souls,0.0,,0.0,0.0,0.0,0.0
are you watching frieren beyond journeys end  really good anime,0.5,?,1.0,0.0,0.0,0.0
shwallow,0.0,,0.0,0.0,0.0,0.0
id buy that for a dollar,0.0,,0.0,0.0,0.0,0.0
alex and james cowcop,0.0,,0.0,0.0,0.0,0.0
there is a wasp behind you,0.0,,0.0,0.0,0.0,0.0
oh shit we watching the creatures,0.0,?,1.0,0.0,0.0,0.0
doritos cool ranch or nacho,0.0,,0.0,0.0,0.0,0.0
r u gonna play more helldivers,0.0,,0.0,0.0,0.0,0.0
can you give me a car pls,0.0,,0.0,0.0,0.0,0.0
best supersupps flavor,0.0,?,1.0,0.0,0.0,0.0
shwallow butt fucker,0.0,,0.0,0.0,0.0,0.0
did you see the hhvaush horse stuff,0.5,,0.0,0.0,0.0,0.0
hee hee kuhmooey,0.0,.,0.0,2.0,0.0,0.0
hey charlie did you get a chance to see my tweet about making you a custom gundam,0.0,?,1.0,0.0,1.0,0.0
will you add the new taco bell items on the taco bell tier list when it comes out,0.0,?,1.0,0.0,0.0,0.0
thinking of cheese makes me feel gassy,0.0,,0.0,0.0,0.0,0.0
its so good,0.5,,0.0,0.0,0.0,0.0
hope that shit isnt genetic cuzz if it is i could get it,0.0,,0.0,0.0,0.0,0.0
did you see the florida man who just drove his pickup truck into the ocean and when arrested gave a big smile and said not my fault it dont surf as a key wester hes a true floridian,0.0,,0.0,0.0,0.0,0.0
penguinz did you watch the wwe press conference,0.0,?,1.0,0.0,0.0,0.0
charlie do my homework for me,0.0,?,1.0,0.0,1.0,0.0
route for your team not your hate,0.0,,0.0,0.0,0.0,0.0
can we peep the trailer,0.0,,0.0,0.0,0.0,0.0
what was your super bowl prediction,0.0,,0.0,0.0,0.0,0.0
why is saucesav still getting ads mid stream if he is subbed,-0.5,?,1.0,0.0,0.0,0.0
did you see vitality got their first rlcs loss,-0.5,?,1.0,0.0,0.0,0.0
n,0.0,,0.0,0.0,0.0,0.0
deadpool  trailer,0.0,,0.0,0.0,0.0,0.0
which nba team you think are going to the finals and which of those teams you think are going to win,0.0,?,1.0,0.0,0.0,0.0
rigged nfl,-0.5,,0.0,0.0,0.0,0.0
penguinz did you watch the wwe press conference,0.0,?,1.0,0.0,0.0,0.0
its so good,1.0,,0.0,0.0,0.0,0.0
how does the twitchyoutube stream schedule work,0.0,?,1.0,0.0,0.0,0.0
i,0.0,,0.0,0.0,0.0,0.0
l ers,-0.5,,0.0,0.0,0.0,0.0
just a chill stream tn,0.0,?,1.0,0.0,0.0,0.0
phoenix suns going to win championship,0.5,,0.0,0.0,0.0,0.0
did you hear about the helicopter found on mars,0.0,?,1.0,0.0,0.0,0.0
if you want a physical body like charlie eat lean white meat and raw vegetables and do heaps of cardio,0.0,comma,0.0,0.0,1.0,0.0
what if hes just a grower not a shower,0.0,,0.0,0.0,0.0,0.0
penguinz did you watch the wwe press conference,0.0,?,1.0,0.0,0.0,0.0
help charlie ive been jelqed,0.0,,0.0,0.0,0.0,0.0
i feel attacked,-0.5,,0.0,0.0,0.0,0.0
did you watch the video of the dude getting pansted by a mustang ina street drift off before everyone ran up to zoom in on his ass,0.0,?,1.0,1.0,0.0,0.0
you hear about the cheese wheel race in the uk,0.0,,0.0,0.0,0.0,0.0
deadpool  trailer,0.0,,0.0,0.0,0.0,0.0
did you watch the dead pool trailer,0.0,,0.0,0.0,0.0,0.0
see the deadpool trailer,0.0,?,1.0,0.0,0.0,0.0
do you think black myth wukong is game of the year contender,0.0,,0.0,0.0,0.0,0.0
why is he getting adds when subbed,0.0,?,1.0,0.0,0.0,0.0
will there be any other songs like skynut,0.0,?,1.0,0.0,0.0,0.0
did you see what disney created for vr they made a floor that keeps you walking in place,0.0,?,1.0,0.0,0.0,0.0
rigging nfl for them swiftards but its as realistic as wwe im not surprised,0.0,.,0.0,2.0,1.0,0.0
did you plan on doing a moist meter for lies of p,0.0,,0.0,0.0,0.0,0.0
deadpool,0.0,,0.0,0.0,0.0,0.0
how is charlie so hot,0.5,,0.0,0.0,0.0,0.0
penguinz did you watch the wwe press conference,0.0,?,1.0,0.0,0.0,0.0
grower not a shower,0.0,,0.0,0.0,0.0,0.0
they played well,0.5,,0.0,0.0,0.0,0.0
can we see the trailer for this anime,0.0,,0.0,0.0,0.0,0.0
yeah it did and im loving it both sides needed to have a chance,0.0,.,0.0,1.0,0.0,0.0
you read about guy who was released and stabbed  people days later,-0.5,,0.0,0.0,0.0,0.0
do you wear polarized sunglasses to see crocs,0.0,?,1.0,0.0,0.0,0.0
lol,0.5,,0.0,0.0,0.0,0.0
one piece update,0.0,,0.0,0.0,0.0,0.0
the water cold,0.0,,0.0,0.0,0.0,0.0
did you see the stuff about ice spice at the super bowl,0.0,?,1.0,0.0,0.0,0.0
lies,-1.0,,0.0,0.0,0.0,0.0
deadpool,0.0,,0.0,0.0,0.0,0.0
oof,-0.5,,0.0,0.0,0.0,0.0
damn,0.0,,0.0,0.0,0.0,0.0
o that guy,0.5,,0.0,0.0,0.0,0.0
what up moist critical,0.0,,0.0,0.0,0.0,0.0
recommend any jelqing techniques,0.0,,0.0,0.0,0.0,0.0
lies of p speed run when,0.0,?,1.0,0.0,0.0,0.0
yikes,-0.5,,0.0,0.0,0.0,0.0
it was cold,0.0,,0.0,0.0,0.0,0.0
hello penguinz how is your night going,0.0,,0.0,0.0,0.0,0.0
deadpool guys,0.0,,0.0,0.0,0.0,0.0
brother had that peter griffin pecker,0.0,,0.0,0.0,0.0,0.0
penguinz did you watch the wwe press conference,0.0,?,1.0,0.0,0.0,0.0
please someone with money ask him about the vaush folder leak,0.0,,0.0,0.0,0.0,0.0
lol,0.5,,0.0,0.0,0.0,0.0
snoll pp,0.0,,0.0,0.0,0.0,0.0
he was in the pool,0.0,!,0.0,0.0,0.0,1.0
is it weird that i watched the super bowl and like it just feel like watching white static its weird cause like i enjoy a little footy,0.0,.,0.0,1.0,0.0,0.0
did u see drakes leaks,0.0,?,1.0,0.0,0.0,0.0
did you plan on doing a moist meter for lies of p,0.0,,0.0,0.0,0.0,0.0
you see that andrew callaghan got arrested in the new vid,0.0,?,1.0,0.0,0.0,0.0
have you considered building a bowling alley lane in the warehouse,0.0,.,1.0,1.0,0.0,0.0
what are your opinions on rise of the ronin it looks too good to be true to me,-0.5,.,1.0,1.0,0.0,0.0
did you see what disney created for vr they made a floor that keeps you walking in place,0.0,?,1.0,0.0,0.0,0.0
above avergae thank you very much,0.0,,0.0,0.0,0.0,0.0
wdym it was massive,0.0,?,1.0,0.0,0.0,0.0
will u play more helldivers,0.0,?,1.0,0.0,0.0,0.0
the curse,0.0,,0.0,0.0,0.0,0.0
naw he had that drake dong,0.0,,0.0,0.0,0.0,0.0
epic,0.5,,0.0,0.0,0.0,0.0
he was in the pool,0.0,,0.0,0.0,0.0,0.0
moving screen,0.0,,0.0,0.0,0.0,0.0
i know exactly the pose,0.0,,0.0,0.0,0.0,0.0
have you ever smoked the zaza,0.0,,0.0,0.0,0.0,0.0
the goat,1.0,,0.0,0.0,0.0,0.0
my heart is so warm,1.0,,0.0,0.0,0.0,0.0
w,0.5,,0.0,0.0,0.0,0.0
letsgo,1.0,,0.0,0.0,0.0,0.0
nice,0.5,,0.0,0.0,0.0,0.0
omegalul,1.0,,0.0,0.0,0.0,0.0
good job,0.5,,0.0,0.0,0.0,0.0
shutup lol,-0.5,,0.0,0.0,0.0,0.0
good d,1.0,,0.0,0.0,0.0,0.0
beast,1.0,,0.0,0.0,0.0,0.0
hahahahhahahahaha,1.0,,0.0,0.0,0.0,0.0
yikes,0.5,,0.0,0.0,0.0,0.0
french wall happs,0.0,,0.0,0.0,0.0,0.0
lool,0.5,,0.0,0.0,0.0,0.0
youre not that guy pal,-0.5,,0.0,0.0,0.0,0.0
oof,-0.5,,0.0,0.0,0.0,0.0
bruh,-0.5,,0.0,0.0,0.0,0.0
ez clap,0.5,,0.0,0.0,0.0,0.0
dude we need to see you play some ball fr fr,0.0,,0.0,0.0,0.0,0.0
hell yeah,1.0,,0.0,0.0,0.0,0.0
ez clap,0.5,,0.0,0.0,0.0,0.0
gottem kappa,0.0,,0.0,0.0,0.0,0.0
omegalul,1.0,,0.0,0.0,0.0,0.0
lmao,1.0,,0.0,0.0,0.0,0.0
good evening lud,0.5,,0.0,0.0,0.0,0.0
you went to the grammys,0.0,?,1.0,0.0,0.0,0.0
they call me brick cause im bricked,0.0,,0.0,0.0,0.0,0.0
lmaoo,1.0,,0.0,0.0,0.0,0.0
how tall are u,0.0,?,1.0,0.0,0.0,0.0
i would not let you in the paint,-0.5,,0.0,0.0,0.0,0.0
rare w lud moment,0.5,,0.0,0.0,0.0,0.0
icant,0.5,,0.0,0.0,0.0,0.0
did you have a gun,0.0,?,1.0,0.0,0.0,0.0
lmao,1.0,,0.0,0.0,0.0,0.0
lol,0.5,,0.0,0.0,0.0,0.0
wotttt,0.0,,0.0,0.0,0.0,0.0
oof,-0.5,,0.0,0.0,0.0,0.0
monkaw,0.5,,0.0,0.0,0.0,0.0
sounds like fun,0.5,,0.0,0.0,0.0,0.0
bro was blocking celebs,0.0,?,1.0,0.0,0.0,0.0
huhh,0.0,,0.0,0.0,0.0,0.0
ayo what,0.0,,0.0,0.0,0.0,0.0
what lol,0.5,,0.0,0.0,0.0,0.0
omegalul,1.0,,0.0,0.0,0.0,0.0
lookup,0.0,,0.0,0.0,0.0,0.0
poor qt,-0.5,,0.0,0.0,0.0,0.0
pepehands,0.0,,0.0,0.0,0.0,0.0
have you seen the chuggaaconroy drama,0.0,,0.0,0.0,0.0,0.0
pain,-0.5,,0.0,0.0,0.0,0.0
rather be wet than be shot,0.0,,0.0,0.0,0.0,0.0
bg again,1.0,!,0.0,0.0,0.0,3.0
omegalul,1.0,,0.0,0.0,0.0,0.0
lmao,1.0,,0.0,0.0,0.0,0.0
arent u drenched at this point,-0.5,?,1.0,0.0,0.0,0.0
wetwig,0.0,,0.0,0.0,0.0,0.0
feelsrainman,0.0,,0.0,0.0,0.0,0.0
make up is fiiiiiine,0.5,,0.0,0.0,0.0,0.0
lud can box me out,0.0,,0.0,0.0,0.0,0.0
lol,0.5,,0.0,0.0,0.0,0.0
w,0.5,,0.0,0.0,0.0,0.0
the only time ive ever cut a line is when two people multiplied to like  people through talk to someone you know strat,0.0,,0.0,0.0,0.0,0.0
shlatt wouldnt be allowed,-0.5,,0.0,0.0,0.0,0.0
were ur socks wet,0.0,?,5.0,0.0,0.0,0.0
people cutting are cringe,0.0,!,0.0,0.0,0.0,1.0
batchest,0.0,,0.0,0.0,0.0,0.0
man thats lame even for america,-0.5,comma,0.0,0.0,1.0,0.0
dawg why would you ask a streamer that,0.0,,0.0,0.0,0.0,0.0
batchest cryptoooooo,0.0,,0.0,0.0,0.0,0.0
wow,0.5,,0.0,0.0,0.0,0.0
lol good story telling funny,0.5,comma,0.0,0.0,1.0,0.0
lookup but rain,0.0,?,1.0,0.0,0.0,0.0
poggies,0.5,,0.0,0.0,0.0,0.0
sweets,0.5,,0.0,0.0,0.0,0.0
drenchedwig,0.0,,0.0,0.0,0.0,0.0
wsg,0.5,,0.0,0.0,0.0,0.0
batchest,0.0,!,0.0,0.0,0.0,4.0
qt is such a goat,0.5,,0.0,0.0,0.0,0.0
is everyone wet,0.0,?,1.0,0.0,0.0,0.0
goated arena,0.0,,0.0,0.0,0.0,0.0
ad,0.0,,0.0,0.0,0.0,0.0
bg,0.0,,0.0,0.0,0.0,0.0
moistwig,0.0,,0.0,0.0,0.0,0.0
get a swipe bidet today  httpsswipelive,0.0,.,0.0,1.0,0.0,0.0
goated arena,0.5,,0.0,0.0,0.0,0.0
batchest,0.0,,0.0,0.0,0.0,0.0
gigachad,1.0,,0.0,0.0,0.0,0.0
qt so goated,0.5,,0.0,0.0,0.0,0.0
waffle,0.0,,0.0,0.0,0.0,0.0
the crypto name still doesnt sound right,-0.5,,0.0,0.0,0.0,0.0
richhhh,0.5,,0.0,0.0,0.0,0.0
oh i thought those were nosebleeds,0.0,,0.0,0.0,0.0,0.0
love when he does the youtube hands,1.0,,0.0,0.0,0.0,0.0
lolll,0.5,,0.0,0.0,0.0,0.0
binoculars,0.0,,0.0,0.0,0.0,0.0
thats awesome,1.0,,0.0,0.0,0.0,0.0
if shlatt was there no one wouldve cut,0.0,,0.0,0.0,0.0,0.0
sweets,0.5,,0.0,0.0,0.0,0.0
lulw,1.0,,0.0,0.0,0.0,0.0
lmao better seats than the artists,1.0,,0.0,0.0,0.0,0.0
opera glasses ez,0.5,,0.0,0.0,0.0,0.0
omegalul,1.0,,0.0,0.0,0.0,0.0
omegalul,1.0,,0.0,0.0,0.0,0.0
lmao,1.0,,0.0,0.0,0.0,0.0
will neff joined otk,0.0,,0.0,0.0,0.0,0.0
lool,0.5,,0.0,0.0,0.0,0.0
we call it the crypt,0.0,,0.0,0.0,0.0,0.0
spoilers,-0.5,,0.0,0.0,0.0,0.0
oook bro feelsweirdman,-0.5,,0.0,0.0,0.0,0.0
good shit qt very fancy,1.0,!,0.0,0.0,0.0,1.0
lol,0.5,,0.0,0.0,0.0,0.0
at the opera booths,0.0,,0.0,0.0,0.0,0.0
so much chat about kilin,-0.5,,0.0,0.0,0.0,0.0
must be nice,0.5,,0.0,0.0,0.0,0.0
e,0.0,,0.0,0.0,0.0,0.0
not the opera glasses omegalul,1.0,,0.0,0.0,0.0,0.0
bro was watching a play in the victorian era lmao,0.5,,0.0,0.0,0.0,0.0
waffle waffle,0.0,,0.0,0.0,0.0,0.0
join the official ludwig discord  httpsdiscordggludwig,0.0,.,0.0,1.0,0.0,0.0
thats crazy,0.0,,0.0,0.0,0.0,0.0
lulw,1.0,,0.0,0.0,0.0,0.0
overlooking the poors,-0.5,,0.0,0.0,0.0,0.0
gigitty gigitty gigitty gigitty,0.0,,0.0,0.0,0.0,0.0
grrrr,-0.5,,0.0,0.0,0.0,0.0
boygenius on top,1.0,,0.0,0.0,0.0,0.0
d,0.0,,0.0,0.0,0.0,0.0
hi yt,0.5,,0.0,0.0,0.0,0.0
peepogiggles,0.5,,0.0,0.0,0.0,0.0
hi yt,0.5,,0.0,0.0,0.0,0.0
was,0.0,,0.0,0.0,0.0,0.0
what time about will baldurs gate be released to all,0.0,,0.0,0.0,0.0,0.0
omg,1.0,,0.0,0.0,0.0,0.0
lmao,1.0,,0.0,0.0,0.0,0.0
no way,0.0,,0.0,0.0,0.0,0.0
hehe haha,0.5,,0.0,0.0,0.0,0.0
scammed again despairge,0.0,,0.0,0.0,0.0,0.0
d,-0.5,,0.0,0.0,0.0,0.0
yeah i have been to that arena the bathrooms are really weird and theyre shapes like fetuses its really peculiar therr also a lot of short people,-0.5,.,0.0,1.0,0.0,0.0
hi yt,0.5,,0.0,0.0,0.0,0.0
will neff in otk,0.5,,0.0,0.0,0.0,0.0
he pretty chill,0.5,,0.0,0.0,0.0,0.0
lollll,0.5,,0.0,0.0,0.0,0.0
ludwig was eepy,0.0,,0.0,0.0,0.0,0.0
he sucks,-1.0,,0.0,0.0,0.0,0.0
who,0.0,?,1.0,0.0,0.0,0.0
okay im going back to watch doc lol great story lud,0.5,.,0.0,1.0,0.0,0.0
he was a great host he has a good book too,1.0,,0.0,0.0,0.0,0.0
didnt he big time hasan,0.5,,0.0,0.0,0.0,0.0
hes a very charming man,0.5,,0.0,0.0,0.0,0.0
his monologue was good,0.5,,0.0,0.0,0.0,0.0
hi yt,0.5,,0.0,0.0,0.0,0.0
trevor noah is great,1.0,,0.0,0.0,0.0,0.0
he is so funny,0.5,,0.0,0.0,0.0,0.0
laufey won  lets go,1.0,!,0.0,0.0,0.0,16.0
will neff joined otk,0.0,,0.0,0.0,0.0,0.0
he is oooooh,0.0,,0.0,0.0,0.0,0.0
clap,0.5,,0.0,0.0,0.0,0.0
who,0.0,?,1.0,0.0,0.0,0.0
he did better this year than last year,0.0,,0.0,0.0,0.0,0.0
ludwig try not to get scammed challange,0.0,,0.0,0.0,0.0,0.0
hes so funny,0.5,,0.0,0.0,0.0,0.0
hi chat,0.5,,0.0,0.0,0.0,0.0
yep trevor is good,0.5,,0.0,0.0,0.0,0.0
oh pog,0.5,?,1.0,0.0,0.0,0.0
hes pretty funny from what ive seen,0.5,comma,0.0,0.0,1.0,0.0
matter of time before scammed came out,-0.5,,0.0,0.0,0.0,0.0
pepew,0.5,,0.0,0.0,0.0,0.0
s where s are due,0.5,,0.0,0.0,0.0,0.0
yesyes true,0.5,,0.0,0.0,0.0,0.0
def,0.0,.,0.0,1.0,0.0,0.0
weird will neff spammer i guarantee lud knew months ago,-0.5,,0.0,0.0,0.0,0.0
drake,0.0,,0.0,0.0,0.0,0.0
omegalullll,1.0,,0.0,0.0,0.0,0.0
my mom loves that guy,1.0,,0.0,0.0,0.0,0.0
trevor is op,0.0,,0.0,0.0,0.0,0.0
trevor noah is funny af,0.5,,0.0,0.0,0.0,0.0
you are very good,1.0,,0.0,0.0,0.0,0.0
uhm sure,0.5,,0.0,0.0,0.0,0.0
dont care play bg man,-0.5,comma,0.0,0.0,1.0,0.0
he is good,0.5,,0.0,0.0,0.0,0.0
yooo,0.0,,0.0,0.0,0.0,0.0
he was very charming,0.5,,0.0,0.0,0.0,0.0
you are a great host,1.0,,0.0,0.0,0.0,0.0
when baulders gate,0.0,?,1.0,0.0,0.0,0.0
yeah hes really good,1.0,,0.0,0.0,0.0,0.0
